Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Eni Live Station],Price [Eni Live Station],In stock [Eni Live Station],Low stock [Eni Live Station],"Modifier - ""Aggiunta""","Modifier - ""Ritiro e Consegna Concessionarie""","Modifier - ""Ritiro e Consegna PRIVATI"""
ARBRE MAGIQUE - MELA VERDE ,10324,ARBRE MAGIQUE - MELA VERDE,Profumatori,ARBRE MAGIQUE - MELA VERDE ,N,,,,,,,0.00,8001365055225,,,Y,Y,2.50,18.000,3.000,N,N,N
ARBRE MAGIQUE - MUSCHIO BIANCO ,10330,ARBRE MAGIQUE - MUSCHIO BIANCO,Profumatori,ARBRE MAGIQUE - MUSCHIO BIANCO ,N,,,,,,,0.00,8001365023668,,,Y,Y,2.50,8.000,3.000,N,N,N
ARBRE MAGIQUE - NEUTRODOR PETS 150MM,10338,ARBRE MAGIQUE - NEUTRODOR PETS 150MM,Profumatori,ARBRE MAGIQUE - NEUTRODOR PETS 150MM,N,,,,,,,0.00,8001365091711,,,Y,Y,7.00,4.000,3.000,N,N,N
ARBRE MAGIQUE - NEUTRODOR TESSUTI 150MM,10339,ARBRE MAGIQUE - NEUTRODOR TESSUTI 150MM,Profumatori,ARBRE MAGIQUE - NEUTRODOR TESSUTI 150MM,N,,,,,,,0.00,8001365091414,,,Y,Y,7.00,3.000,3.000,N,N,N
ARBRE MAGIQUE - PINO,10322,ARBRE MAGIQUE - PINO,Profumatori,ARBRE MAGIQUE - PINO,N,,,,,,,0.00,8001365055003,,,Y,Y,2.50,14.000,3.000,N,N,N
ARBRE MAGIQUE - POP BLUE VELVET,10337,ARBRE MAGIQUE - POP BLUE VELVET,Profumatori,ARBRE MAGIQUE - POP BLUE VELVET,N,,,,,,,0.00,8001365290039,,,Y,Y,4.50,1.000,3.000,N,N,N
ARBRE MAGIQUE - POP EXOTIC,10335,ARBRE MAGIQUE - POP EXOTIC,Profumatori,ARBRE MAGIQUE - POP EXOTIC,N,,,,,,,0.00,8001365290022,,,Y,Y,4.50,9.000,3.000,N,N,N
ARBRE MAGIQUE - POP OCEAN,10336,ARBRE MAGIQUE - POP OCEAN,Profumatori,ARBRE MAGIQUE - POP OCEAN,N,,,,,,,0.00,8001365290008,,,Y,Y,4.50,2.000,3.000,N,N,N
ARBRE MAGIQUE - SPORT,10320,ARBRE MAGIQUE - SPORT,Profumatori,ARBRE MAGIQUE - SPORT,N,,,,,,,0.00,8001365022265,,,Y,Y,2.50,6.000,3.000,N,N,N
ARBRE MAGIQUE - SUMMER DREAM,10328,ARBRE MAGIQUE - SUMMER DREAM,Profumatori,ARBRE MAGIQUE - SUMMER DREAM,N,,,,,,,0.00,8001365023743,,,Y,Y,2.50,12.000,3.000,N,N,N
ARBRE MAGIQUE - VANIGLIA ,10327,ARBRE MAGIQUE - VANIGLIA,Profumatori,ARBRE MAGIQUE - VANIGLIA ,N,,,,,,,0.00,8001365055300,,,Y,Y,2.50,8.000,3.000,N,N,N
ARBRE MAGIQUE - WINTER SEASON,10329,ARBRE MAGIQUE - WINTER SEASON,Profumatori,ARBRE MAGIQUE - WINTER SEASON,N,,,,,,,0.00,8001365050077,,,Y,Y,2.50,8.000,3.000,N,N,N
ARBRE MAGIQUE - WOODEN MUSK,10331,ARBRE MAGIQUE - WOODEN MUSK,Profumatori,ARBRE MAGIQUE - WOODEN MUSK,N,,,,,,,0.00,8001365023606,,,Y,Y,2.50,9.000,3.000,N,N,N
ATF II D 1L OLIO CAMBI AUTOMATICI ,10041,ATF II D 1L OLIO CAMBI AUTOMATICI,Oli e lubrificanti,ATF II D 1L OLIO CAMBI AUTOMATICI ,N,,,,,,,0.00,8003699008885,,,Y,Y,13.00,4.000,3.000,N,N,N
best-car,10401,BEST CAR,Lavaggi,,N,TIPO LAVAGGIO,COMPLETO,,,,,0.00,,,,N,Y,24.00,,,N,N,N
best-car,10497,,,,,,COMPLETO + MOTORE,,,,,0.00,,,,,Y,25.00,,,N,N,N
best-car,10402,,,,,,ESTERNO,,,,,0.00,,,,,Y,13.00,,,N,N,N
best-car,10411,,,,,,IDRO+RULLI,,,,,0.00,,,,,Y,10.00,,,N,N,N
best-car,10403,,,,,,INTERNO,,,,,0.00,,,,,Y,20.00,,,N,N,N
best-car,10410,,,,,,SOLO RULLI,,,,,0.00,,,,,Y,6.00,,,N,N,N
best-car,10420,,,,,,VARIABILE,,,,,0.00,,,,,Y,variable,,,N,N,N
BI-MOSCHI LAVAVETRI BICOMP PER INSETTI 250ML,10007,BI-MOSCHI,Accessori,BI-MOSCHI LAVAVETRI BICOMP PER INSETTI 250ML,N,,,,,,,0.00,8006786014059,,,Y,Y,3.50,9.000,3.000,N,N,N
BIG 2 DETERSIVO VETRI 25LT,10306,BIG 2 DETERSIVO VETRI 25LT,Uso interno,BIG 2 DETERSIVO VETRI 25LT,N,,,,,,,0.00,,,,Y,Y,1.00,1.000,3.000,N,N,N
black-opium-essence,10489,Black Opium essence,Profumatori,,N,,,,,,,2.50,8054309080845,,,Y,Y,7.00,2.000,0.000,N,N,N
blue-car-essence,10488,Blue Car essence,Profumatori,,N,,,,,,,2.50,8054309080838,,,Y,Y,7.00,3.000,0.000,N,N,N
bolletta,10443,BOLLETTA,Lavaggi,,N,TIPO LAVAGGIO,COMPLETO,,,,,0.00,,,,N,Y,28.00,,,Y,N,N
bolletta,10444,,,,,,ESTERNO,,,,,0.00,,,,,Y,14.00,,,,,
bolletta,10445,,,,,,INTERNO,,,,,0.00,,,,,Y,22.00,,,,,
bolletta,10446,,,,,,RULLI,,,,,0.00,,,,,Y,6.00,,,,,
bolletta,10447,,,,,,RULLI+IDRO,,,,,0.00,,,,,Y,10.00,,,,,
bolletta,10455,,,,,,SUV,,,,,0.00,,,,,Y,30.00,,,,,
bolletta,10448,,,,,,VARIABILE,,,,,0.00,,,,,Y,variable,,,,,
"BORCHIE CERCHI 15""",10093,"BORCHIE CERCHI 15""",Accessori,"BORCHIE CERCHI 15""",N,,,,,,,0.00,6922516306725,,,Y,Y,50.00,1.000,3.000,N,N,N
BOSCH AEROFIT ANT. - AF 400 400MM,10109,BOSCH AEROFIT ANT. - AF 400 400MM,Tergicristalli,BOSCH AEROFIT ANT. - AF 400 400MM,N,,,,,,,0.00,4047025123211,,,Y,Y,20.00,6.000,3.000,N,N,N
BOSCH AEROFIT ANT. - AFP 350 350MM,10111,BOSCH AEROFIT ANT. - AFP 350 350MM,Tergicristalli,<p>BOSCH AEROFIT ANT. - AFP 350 350MM</p>,N,,,,,,,7.00,4047023099501,,,Y,Y,18.00,14.000,3.000,N,N,N
BOSCH AEROFIT ANT. - AFP 380 380MM,10110,BOSCH AEROFIT ANT. - AFP 380 380MM,Tergicristalli,<p>BOSCH AEROFIT ANT. - AFP 380 380MM</p>,N,,,,,,,7.00,4047023099518,,,Y,Y,18.00,0.000,3.000,N,N,N
BOSCH AEROFIT ANT. - AFP 400 400MM,10108,BOSCH AEROFIT ANT. - AFP 400 400MM,Tergicristalli,<p>BOSCH AEROFIT ANT. - AFP 400 400MM</p>,N,,,,,,,7.00,4047023099525,,,Y,Y,20.00,15.000,3.000,N,N,N
BOSCH AEROFIT ANT. - AFP 450 450MM,10107,BOSCH AEROFIT ANT. - AFP 450 450MM,Tergicristalli,BOSCH AEROFIT ANT. - AFP 450 450MM,N,,,,,,,7.00,4047023099532,,,Y,Y,20.00,7.000,3.000,N,N,N
BOSCH AEROFIT ANT. - AFP 500 500MM,10106,BOSCH AEROFIT ANT. - AFP 500 500MM,Tergicristalli,BOSCH AEROFIT ANT. - AFP 500 500MM,N,,,,,,,8.00,4047023099556,,,Y,Y,22.00,12.000,3.000,N,N,N
BOSCH AEROFIT ANT. - AFP 550 550MM,10105,BOSCH AEROFIT ANT. - AFP 550 550MM,Tergicristalli,<p>BOSCH AEROFIT ANT. - AFP 550 550MM</p>,N,,,,,,,8.00,4047023099570,,,Y,Y,22.00,12.000,3.000,N,N,N
BOSCH AEROFIT ANT. - AFP 600 600MM,10104,BOSCH AEROFIT ANT. - AFP 600 600MM,Tergicristalli,<p>BOSCH AEROFIT ANT. - AFP 600 600MM</p>,N,,,,,,,8.00,4047023099587,,,Y,Y,25.00,4.000,3.000,N,N,N
BOSCH AEROFIT ANT. - AFP 650 650MM,10103,BOSCH AEROFIT ANT. - AFP 650 650MM,Tergicristalli,BOSCH AEROFIT ANT. - AFP 650 650MM,N,,,,,,,8.00,4047023099594,,,Y,Y,25.00,8.000,3.000,N,N,N
BOSCH AEROFIT ANT. - AFP 700 700MM,10101,BOSCH AEROFIT ANT. - AFP 700 700MM,Tergicristalli,BOSCH AEROFIT ANT. - AFP 700 700MM,N,,,,,,,8.00,4047023099600,,,Y,Y,25.00,10.000,3.000,N,N,N
BOSCH AEROFIT ANT. - AFP 750 750MM,10102,BOSCH AEROFIT ANT. - AFP 750 750MM,Tergicristalli,BOSCH AEROFIT ANT. - AFP 750 750MM,N,,,,,,,8.00,4047023099617,,,Y,Y,25.00,1.000,3.000,N,N,N
BOSCH AEROTWIN A 401 H 400MM,10184,BOSCH AEROTWIN A 401 H 400MM,Tergicristalli,BOSCH AEROTWIN A 401 H 400MM,N,,,,,,,0.00,4047024151741,,,Y,Y,20.00,3.000,3.000,N,N,N
BOSCH AEROTWIN A 475 H 475MM,10186,BOSCH AEROTWIN A 475 H 475MM,Tergicristalli,BOSCH AEROTWIN A 475 H 475MM,N,,,,,,,0.00,4047024240926,,,Y,Y,20.00,1.000,3.000,N,N,N
BOSCH AEROTWIN ANT. -  963S 750/650MM,10135,BOSCH AEROTWIN ANT. -  963S 750/650MM,Tergicristalli,BOSCH AEROTWIN ANT. -  963S 750/650MM,N,,,,,,,0.00,3165143410202,,,Y,Y,50.00,1.000,3.000,N,N,N
BOSCH AEROTWIN ANT. - A 112 S 575/530MM,10130,BOSCH AEROTWIN ANT. - A 112 S 575/530MM,Tergicristalli,BOSCH AEROTWIN ANT. - A 112 S 575/530MM,N,,,,,,,0.00,4047026153279,,,Y,Y,45.00,1.000,3.000,N,N,N
BOSCH AEROTWIN ANT. - A 156 S 650/400MM,10129,BOSCH AEROTWIN ANT. - A 156 S 650/400MM,Tergicristalli,BOSCH AEROTWIN ANT. - A 156 S 650/400MM,N,,,,,,,0.00,4047025659321,,,Y,Y,45.00,1.000,3.000,N,N,N
BOSCH AEROTWIN ANT. - A 204 S 600/475MM,10124,BOSCH AEROTWIN ANT. - A 204 S 600/475MM,Tergicristalli,BOSCH AEROTWIN ANT. - A 204 S 600/475MM,N,,,,,,,0.00,4047025907934,,,Y,Y,45.00,0.000,3.000,N,N,N
BOSCH AEROTWIN ANT. - A 206 S 650/475MM,10126,BOSCH AEROTWIN ANT. - A 206 S 650/475MM,Tergicristalli,BOSCH AEROTWIN ANT. - A 206 S 650/475MM,N,,,,,,,0.00,4047025907958,,,Y,Y,45.00,1.000,3.000,N,N,N
BOSCH AEROTWIN ANT. - A 250 S 650/360MM,10127,BOSCH AEROTWIN ANT. - A 250 S 650/360MM,Tergicristalli,BOSCH AEROTWIN ANT. - A 250 S 650/360MM,N,,,,,,,0.00,4047026068764,,,Y,Y,45.00,1.000,3.000,N,N,N
BOSCH AEROTWIN ANT. - A 404 S 700/340MM,10128,BOSCH AEROTWIN ANT. - A 404 S 700/340MM,Tergicristalli,BOSCH AEROTWIN ANT. - A 404 S 700/340MM,N,,,,,,,0.00,4047026195491,,,Y,Y,50.00,1.000,3.000,N,N,N
BOSCH AEROTWIN ANT. - A 644 S 700 MM,10134,BOSCH AEROTWIN ANT. - A 644 S 700 MM,Tergicristalli,BOSCH AEROTWIN ANT. - A 644 S 700 MM,N,,,,,,,0.00,4047023127037,,,Y,Y,35.00,1.000,3.000,N,N,N
BOSCH AEROTWIN ANT. - A 981 S 700/300MM,10125,BOSCH AEROTWIN ANT. - A 981 S 700/300MM,Tergicristalli,BOSCH AEROTWIN ANT. - A 981 S 700/300MM,N,,,,,,,0.00,4047026521948,,,Y,Y,50.00,1.000,3.000,N,N,N
BOSCH AEROTWIN ANT. - AP 13 U 340MM,10123,BOSCH AEROTWIN ANT. - AP 13 U 340MM,Tergicristalli,BOSCH AEROTWIN ANT. - AP 13 U 340MM,N,,,,,,,0.00,4047025127509,,,Y,Y,23.00,2.000,3.000,N,N,N
BOSCH AEROTWIN ANT. - AP 15 U 380MM,10122,BOSCH AEROTWIN ANT. - AP 15 U 380MM,Tergicristalli,BOSCH AEROTWIN ANT. - AP 15 U 380MM,N,,,,,,,0.00,4047025127516,,,Y,Y,23.00,3.000,3.000,N,N,N
BOSCH AEROTWIN ANT. - AP 16 U 400MM,10121,BOSCH AEROTWIN ANT. - AP 16 U 400MM,Tergicristalli,BOSCH AEROTWIN ANT. - AP 16 U 400MM,N,,,,,,,0.00,4047025127523,,,Y,Y,25.00,4.000,3.000,N,N,N
BOSCH AEROTWIN ANT. - AP 17 U 425MM,10120,BOSCH AEROTWIN ANT. - AP 17 U 425MM,Tergicristalli,BOSCH AEROTWIN ANT. - AP 17 U 425MM,N,,,,,,,0.00,4047025127530,,,Y,Y,25.00,5.000,3.000,N,N,N
BOSCH AEROTWIN ANT. - AP 18 U 450MM,10119,BOSCH AEROTWIN ANT. - AP 18 U 450MM,Tergicristalli,BOSCH AEROTWIN ANT. - AP 18 U 450MM,N,,,,,,,0.00,4047025127547,,,Y,Y,25.00,5.000,3.000,N,N,N
BOSCH AEROTWIN ANT. - AP 20 U 500MM,10118,BOSCH AEROTWIN ANT. - AP 20 U 500MM,Tergicristalli,BOSCH AEROTWIN ANT. - AP 20 U 500MM,N,,,,,,,0.00,4047025127561,,,Y,Y,25.00,1.000,3.000,N,N,N
BOSCH AEROTWIN ANT. - AP 21 U 530MM,10117,BOSCH AEROTWIN ANT. - AP 21 U 530MM,Tergicristalli,BOSCH AEROTWIN ANT. - AP 21 U 530MM,N,,,,,,,0.00,4047025127578,,,Y,Y,25.00,2.000,3.000,N,N,N
BOSCH AEROTWIN ANT. - AP 22 U 550MM,10116,BOSCH AEROTWIN ANT. - AP 22 U 550MM,Tergicristalli,BOSCH AEROTWIN ANT. - AP 22 U 550MM,N,,,,,,,0.00,4047025127585,,,Y,Y,28.00,3.000,3.000,N,N,N
BOSCH AEROTWIN ANT. - AP 24 U 600MM,10115,BOSCH AEROTWIN ANT. - AP 24 U 600MM,Tergicristalli,BOSCH AEROTWIN ANT. - AP 24 U 600MM,N,,,,,,,0.00,4047025127608,,,Y,Y,28.00,2.000,3.000,N,N,N
BOSCH AEROTWIN ANT. - AP 28 U 700MM,10114,BOSCH AEROTWIN ANT. - AP 28 U 700MM,Tergicristalli,BOSCH AEROTWIN ANT. - AP 28 U 700MM,N,,,,,,,0.00,4047025127622,,,Y,Y,28.00,1.000,3.000,N,N,N
BOSCH AEROTWIN ANT. - AP 30 U 750MM,10112,BOSCH AEROTWIN ANT. - AP 30 U 750MM,Tergicristalli,BOSCH AEROTWIN ANT. - AP 30 U 750MM,N,,,,,,,0.00,4047025127639,,,Y,Y,28.00,2.000,3.000,N,N,N
BOSCH AEROTWIN ANT. - AP 32 U 800MM,10113,BOSCH AEROTWIN ANT. - AP 32 U 800MM,Tergicristalli,BOSCH AEROTWIN ANT. - AP 32 U 800MM,N,,,,,,,0.00,4047025127646,,,Y,Y,30.00,2.000,3.000,N,N,N
BOSCH REAR A 230 H 240MM,10219,BOSCH REAR A 230 H 240MM,Tergicristalli,BOSCH REAR A 230 H 240MM,N,,,,,,,0.00,4047025243124,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH REAR A 251 H 250MM,10216,BOSCH REAR A 251 H 250MM,Tergicristalli,BOSCH REAR A 251 H 250MM,N,,,,,,,0.00,4047024437746,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH REAR A 306 H 300MM,10204,BOSCH REAR A 306 H 300MM,Tergicristalli,BOSCH REAR A 306 H 300MM,N,,,,,,,0.00,4047024867017,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH REAR A 311 H 300MM,10206,BOSCH REAR A 311 H 300MM,Tergicristalli,BOSCH REAR A 311 H 300MM,N,,,,,,,0.00,4047025304368,,,Y,Y,15.00,2.000,3.000,N,N,N
BOSCH REAR A 333 H 330MM,10209,BOSCH REAR A 333 H 330MM,Tergicristalli,BOSCH REAR A 333 H 330MM,N,,,,,,,0.00,4047024875227,,,Y,Y,15.00,2.000,3.000,N,N,N
BOSCH REAR A 350 H 350MM,10196,BOSCH REAR A 350 H 350MM,Tergicristalli,BOSCH REAR A 350 H 350MM,N,,,,,,,0.00,4047024302464,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH REAR A 351 H 350MM,10197,BOSCH REAR A 351 H 350MM,Tergicristalli,BOSCH REAR A 351 H 350MM,N,,,,,,,0.00,4047024302488,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH REAR A 382 H 380MM,10190,BOSCH REAR A 382 H 380MM,Tergicristalli,BOSCH REAR A 382 H 380MM,N,,,,,,,0.00,4047025133302,,,Y,Y,15.00,2.000,3.000,N,N,N
BOSCH REAR A 425 H 425MM,10195,BOSCH REAR A 425 H 425MM,Tergicristalli,BOSCH REAR A 425 H 425MM,N,,,,,,,0.00,4047024239326,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH REAR H 230 230MM (MEGANE),10221,BOSCH REAR H 230 230MM (MEGANE),Tergicristalli,BOSCH REAR H 230 230MM (MEGANE),N,,,,,,,0.00,3165143604748,,,Y,Y,15.00,1.000,3.000,N,N,N
